Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
DLBCL-1H-S124;85.71428571428571;46.666666666666664;42.857142857142854;87.5;59.09090909090909;66.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S125;28.57142857142857;76.66666666666667;36.36363636363637;69.6969696969697;61.36363636363637;52.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S126;85.71428571428571;66.66666666666666;54.54545454545454;90.9090909090909;72.72727272727273;76.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S127;78.57142857142857;60;47.82608695652174;85.71428571428571;65.9090909090909;69.28571428571428;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S128;78.57142857142857;50;42.30769230769231;83.33333333333334;59.09090909090909;64.28571428571428;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S13;57.14285714285714;83.33333333333334;61.53846153846154;80.64516129032258;75;70.23809523809523;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S14;92.85714285714286;63.33333333333333;54.166666666666664;95;72.72727272727273;78.0952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S15;78.57142857142857;66.66666666666666;52.38095238095239;86.95652173913044;70.45454545454545;72.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S16;35.714285714285715;66.66666666666666;33.33333333333333;68.96551724137932;56.81818181818182;51.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S17;92.85714285714286;66.66666666666666;56.52173913043478;95.23809523809523;75;79.76190476190477;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S18;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S19;64.28571428571429;76.66666666666667;56.25;82.14285714285714;72.72727272727273;70.47619047619048;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S2;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S20;64.28571428571429;73.33333333333333;52.94117647058824;81.48148148148148;70.45454545454545;68.80952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S21;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S22;71.42857142857143;63.33333333333333;47.61904761904761;82.6086956521739;65.9090909090909;67.38095238095238;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S23;78.57142857142857;63.33333333333333;50;86.36363636363636;68.18181818181817;70.95238095238095;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S24;57.14285714285714;73.33333333333333;50;78.57142857142857;68.18181818181817;65.23809523809523;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S25;92.85714285714286;66.66666666666666;56.52173913043478;95.23809523809523;75;79.76190476190477;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S26;85.71428571428571;60;50;90;68.18181818181817;72.85714285714285;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S27;78.57142857142857;56.666666666666664;45.83333333333333;85;63.63636363636363;67.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S28;85.71428571428571;56.666666666666664;48;89.47368421052632;65.9090909090909;71.19047619047618;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S29;57.14285714285714;83.33333333333334;61.53846153846154;80.64516129032258;75;70.23809523809523;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S3;64.28571428571429;76.66666666666667;56.25;82.14285714285714;72.72727272727273;70.47619047619048;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S30;100;56.666666666666664;51.85185185185185;100;70.45454545454545;78.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S31;78.57142857142857;66.66666666666666;52.38095238095239;86.95652173913044;70.45454545454545;72.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S32;35.714285714285715;66.66666666666666;33.33333333333333;68.96551724137932;56.81818181818182;51.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S33;92.85714285714286;60;52;94.73684210526315;70.45454545454545;76.42857142857142;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S34;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S35;64.28571428571429;76.66666666666667;56.25;82.14285714285714;72.72727272727273;70.47619047619048;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S36;64.28571428571429;73.33333333333333;52.94117647058824;81.48148148148148;70.45454545454545;68.80952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S37;78.57142857142857;70;55.00000000000001;87.5;72.72727272727273;74.28571428571429;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S38;92.85714285714286;60;52;94.73684210526315;70.45454545454545;76.42857142857142;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S39;78.57142857142857;63.33333333333333;50;86.36363636363636;68.18181818181817;70.95238095238095;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S4;64.28571428571429;73.33333333333333;52.94117647058824;81.48148148148148;70.45454545454545;68.80952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S40;57.14285714285714;73.33333333333333;50;78.57142857142857;68.18181818181817;65.23809523809523;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S41;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S42;78.57142857142857;70;55.00000000000001;87.5;72.72727272727273;74.28571428571429;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S43;78.57142857142857;56.666666666666664;45.83333333333333;85;63.63636363636363;67.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S44;85.71428571428571;56.666666666666664;48;89.47368421052632;65.9090909090909;71.19047619047618;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S45;50;83.33333333333334;58.333333333333336;78.125;72.72727272727273;66.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S46;78.57142857142857;70;55.00000000000001;87.5;72.72727272727273;74.28571428571429;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S47;78.57142857142857;66.66666666666666;52.38095238095239;86.95652173913044;70.45454545454545;72.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S48;35.714285714285715;66.66666666666666;33.33333333333333;68.96551724137932;56.81818181818182;51.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S49;92.85714285714286;60;52;94.73684210526315;70.45454545454545;76.42857142857142;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S5;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S50;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S51;64.28571428571429;76.66666666666667;56.25;82.14285714285714;72.72727272727273;70.47619047619048;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S52;64.28571428571429;73.33333333333333;52.94117647058824;81.48148148148148;70.45454545454545;68.80952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S53;78.57142857142857;70;55.00000000000001;87.5;72.72727272727273;74.28571428571429;0;0;0;0;0;0;0;0;0;0;0;0
