Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
HECKTOR-2H-Block-S35;23.636363636363637;94.73684210526315;92.85714285714286;30;41.891891891891895;59.186602870813395;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S36;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S37;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S38;25.454545454545453;73.68421052631578;73.68421052631578;25.454545454545453;37.83783783783784;49.56937799043062;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S39;50.90909090909091;89.47368421052632;93.33333333333333;38.63636363636363;60.810810810810814;70.1913875598086;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S4;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S40;49.09090909090909;94.73684210526315;96.42857142857143;39.130434782608695;60.810810810810814;71.91387559808612;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S41;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S42;45.45454545454545;94.73684210526315;96.15384615384616;37.5;58.108108108108105;70.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S43;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S44;45.45454545454545;89.47368421052632;92.5925925925926;36.17021276595745;56.75675675675676;67.46411483253588;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S45;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S46;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S47;52.72727272727272;84.21052631578947;90.625;38.095238095238095;60.810810810810814;68.4688995215311;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S48;25.454545454545453;94.73684210526315;93.33333333333333;30.508474576271187;43.24324324324324;60.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S49;50.90909090909091;94.73684210526315;96.55172413793103;40;62.16216216216216;72.82296650717703;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S5;54.54545454545454;89.47368421052632;93.75;40.476190476190474;63.51351351351351;72.00956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S50;52.72727272727272;100;100;42.22222222222222;64.86486486486487;76.36363636363637;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S51;23.636363636363637;94.73684210526315;92.85714285714286;30;41.891891891891895;59.186602870813395;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S52;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S53;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S54;25.454545454545453;73.68421052631578;73.68421052631578;25.454545454545453;37.83783783783784;49.56937799043062;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S55;50.90909090909091;89.47368421052632;93.33333333333333;38.63636363636363;60.810810810810814;70.1913875598086;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S56;49.09090909090909;94.73684210526315;96.42857142857143;39.130434782608695;60.810810810810814;71.91387559808612;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S57;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S58;45.45454545454545;94.73684210526315;96.15384615384616;37.5;58.108108108108105;70.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S59;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S6;25.454545454545453;73.68421052631578;73.68421052631578;25.454545454545453;37.83783783783784;49.56937799043062;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S60;45.45454545454545;89.47368421052632;92.5925925925926;36.17021276595745;56.75675675675676;67.46411483253588;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S61;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S62;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S63;52.72727272727272;84.21052631578947;90.625;38.095238095238095;60.810810810810814;68.4688995215311;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S64;25.454545454545453;94.73684210526315;93.33333333333333;30.508474576271187;43.24324324324324;60.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S65;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S66;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S67;30.909090909090907;89.47368421052632;89.47368421052632;30.909090909090907;45.94594594594595;60.19138755980862;0;0;0;0;0;0;0;0;0;0;0;0
